isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance,msFromStart
False,0,0,0,3879,1698673075066.0
False,0,0,0,3879,1698673076549.0
False,0,0,0,3879,1698673078533.0
False,0,0,0,3879,1698673078537.0
False,0,0,0,3879,1698673079526.0
False,0,0,0,3879,1698673081002.0
False,0,0,0,3879,1698673081505.0
False,0,0,0,3879,1698673082492.0
False,0,0,0,3879,1698673083483.0
False,0,0,0,3879,1698673085467.0
False,0,0,0,3879,1698673085468.0
False,0,0,0,3879,1698673086450.0
False,0,0,0,3879,1698673087438.0
False,0,0,0,3879,1698673088438.0
False,0,0,0,3879,1698673089426.0
False,0,0,0,3879,1698673090406.0
False,0,0,0,3879,1698673091401.0
False,0,0,0,3879,1698673092883.0
False,0,0,0,3879,1698673093875.0
False,0,0,0,3879,1698673094378.0
False,0,0,0,3879,1698673095364.0
False,0,0,0,3879,1698673096354.0
False,0,0,0,3879,1698673097336.0
False,0,0,0,3879,1698673098819.0
False,0,0,0,3879,1698673099313.0
False,0,0,0,3879,1698673100306.0
False,0,0,0,3879,1698673101794.0
False,0,0,0,3879,1698673102284.0
False,0,0,0,3879,1698673103275.0
False,0,0,0,3879,1698673104766.0
False,0,0,0,3879,1698673105257.0
False,0,0,0,3879,1698673106245.0
False,0,0,0,3879,1698673107237.0
False,0,0,0,3879,1698673108226.0
False,0,0,0,3879,1698673109215.0
False,0,0,0,3879,1698673110698.0
False,0,0,0,3879,1698673111196.0
False,0,0,0,3879,1698673113175.0
False,0,0,0,3879,1698673113177.0
False,0,0,0,3879,1698673114165.0
False,0,0,0,3879,1698673115164.0
False,0,0,0,3879,1698673116145.0
False,0,0,0,3879,1698673117136.0
False,0,0,0,3879,1698673118619.0
False,0,0,0,3879,1698673119115.0
False,0,0,0,3879,1698673120606.0
False,0,0,0,3879,1698673121099.0
False,0,0,0,3879,1698673122580.0
